100096.jpg	３段計画進行中です
100097.jpg	・・・・・・ちょっとずつだけど・・・・・・
100098.jpg	ノラブチ・・・・・・
1001.jpg	デビッド少しずつ前進しろ
10010.jpg	今は開かずの間は無防備ということさっ
100101.jpg	にゃ～～！
100102.jpg	プリン
100103.jpg	ミー
100104.jpg	ナナ
100105.jpg	おいで・・・
100106.jpg	・・・・・・・・・昔・・・・・・
100108.jpg	おいで・・・
100109.jpg	おいでノラブチ・・・おいで
10011.jpg	よ〜〜しやったるで！
100111.jpg	あったかくて・・・なんにも心配いらなくて・・・幸せで・・・・・・
100113.jpg	しかし宇宙にも人情はあった
100115.jpg	ほんとにってなにうたがってるの？
100117.jpg	おなかすいたなぁねえごはん
10012.jpg	まずい！今　部屋はパンプだけだ！
100120.jpg	なあ鉄雄君おなかすいたよなぁ
100121.jpg	おじさんはほんとにキャプテン十条なの
100122.jpg	そして生きている脳 斎藤だ
100124.jpg	ねえごはんまだかな
100125.jpg	待ってくださいね今用意してますから
100128.jpg	ヒーローであった
100131.jpg	ウソでしょ
100134.jpg	はっ
100135.jpg	だってだって…
100136.jpg	言っていい事と悪い事があるのよ！
10014.jpg	大丈夫
100140.jpg	どこにいるのさ相棒たちは…
100141.jpg	鉄雄！あんた何てことを！
100144.jpg	もういいいいんだよ……
100145.jpg	おじさん毛えないじゃん！
100149.jpg	みんなこの社会が悪いんじゃあ！
100150.jpg	ええ
100151.jpg	くそお！
100152.jpg	やめろ！何があったか知らんがその子は関係ないぞ！
100153.jpg	いいんだ…いいたい事を正直に言う…しっかりした子だ…
100154.jpg	なんやお前…
100155.jpg	大変だ！異星人だ！
100156.jpg	ごめんなさい
100158.jpg	連れもどさないと
100159.jpg	それよりこんな時間に出て行って心配だ…
10016.jpg	しかし！
100161.jpg	鉄雄！
100163.jpg	異星人が侵入したぞ！
100166.jpg	それ以上近づくんちゃうぞお！殺すぞこのガキ
100168.jpg	キャプテン十条だ
100169.jpg	何？
10017.jpg	待って！茶太郎
100170.jpg	キャプテン十条と申します
100171.jpg	あっ
100172.jpg	あ
100173.jpg	こら…
100174.jpg	危ない！危ないなあもお！
100175.jpg	生きていたのか！
100176.jpg	うるさいわ近づくなっちゅーの！
100177.jpg	でも太ったな
100178.jpg	広い銀河の果てまでも悪をたたいて流れ星
100179.jpg	放しなさい！もお
10018.jpg	なっ！
100180.jpg	確かあれは…
100181.jpg	こら
100182.jpg	おい…あれ…
100183.jpg	まさか…
100184.jpg	そんなモン持って何が不満だ言ってみろ!!
100185.jpg	あ
100186.jpg	ああ　もおええかげんにせえ!!
100187.jpg	あ
100188.jpg	ただ昔十条役を演じていた事はあったがね…
100189.jpg	そうかあそれじゃああのウワサは本当だったんだ
10019.jpg	ふあっはっはっはっ
100190.jpg	実はカツラの人気俳優Ｋ・Ｔ
100191.jpg	ご…ごめんつい力入りすぎてな…知らんかったから
100193.jpg	僕はキャプテン十条じゃない…
100194.jpg	いや彼は生きているよ
100195.jpg	いや…違う
100196.jpg	その子の名付け親になってほしいんだ
100198.jpg	おじさん本当だったんだね！
100199.jpg	おじさん！
1002.jpg	ドクン
10020.jpg	わははは
100200.jpg	ああそうだ思い出した!!
100202.jpg	本当にキャプテン十条だったんだね！
100204.jpg	栗塚さん…
100205.jpg	ああ　結局十条役の一発で消えたあの…
100207.jpg	え？
100208.jpg	あいいって
100209.jpg	やっと生まれたよ男の子だそれで君に頼みがあるんだ
100210.jpg	それじゃあキャプテン十条は…
100211.jpg	そして僕は自ら芸能界を去る事にしたんだ…
100213.jpg	君の心の中に…
100214.jpg	だがそれが十条に会った最期だった
100215.jpg	それ以上の事は…
100216.jpg	宇宙道化師
100219.jpg	じゅう～じょお～！
10022.jpg	用意はもうととのってるのよ！
100220.jpg	おじさん！
100221.jpg	私たちは何も迷惑してませんよ…
100222.jpg	おじさんはやっぱり本物だキャプテン十条だよ…
100223.jpg	なそうだろ有田星人君…
100227.jpg	宇宙奇術
100228.jpg	鉄雄君が大事な事に気づかせてくれたんです
100229.jpg	ダンナ
10023.jpg	校長ぉ開きましたあ
100230.jpg	奥さん…
100232.jpg	ありがとう鉄雄君元気で
100233.jpg	はい、
100235.jpg	そんなことあるかい団三郎は超人なんだぞ
100238.jpg	なんだなんだ！
10024.jpg	おおっ！
100240.jpg	畜生ぉーなんて速い奴なんだぁ
100241.jpg	中でもサーカス団の花形スターといえばこの男無重力ブランコの団三郎である
100242.jpg	ドロボーだぁー
100243.jpg	ちぇ楽しみにしてたのにつまんねぇの
100244.jpg	おおっ
100245.jpg	常に死と隣り合わせのその華麗な技の連続は観客を完全に魅了するすばらしさだ
100246.jpg	きっとどっかでサボってるんだ
100248.jpg	だれかそいつを捕えてくれぇ～～!!
100249.jpg	なんて身軽なんだ！
10025.jpg	無事だったか〜〜っ
100250.jpg	おじさん団三郎でしょ…
100252.jpg	！
100254.jpg	とうとう見つけたぞサブ……
100257.jpg	まったく落ちるところまで落ちたもんだ
100261.jpg	見せモンじゃねえんだぞあっち行け
100262.jpg	何だ坊主…
100263.jpg	坊主！しっかりつかまってろよ！
100264.jpg	ええ～いそこをどけぇ！
100265.jpg	いやだ！俺はもう戻らない心にそう誓ったんだ
100266.jpg	団長ぉ！
100267.jpg	い…いやあの君…
100268.jpg	それで団さんはあのサーカス団から飛び出したんだ！
100269.jpg	サブ…おめえってヤローは…
10027.jpg	ついについにやったぞ
100270.jpg	この団長が悪い奴なんだ
100272.jpg	そうかわかったぞ
100273.jpg	望み通りたっぷり痛い目にあわせてやるぜ！
100274.jpg	捜したぞさあ戻って来い三郎
100276.jpg	お前みたいな悪い奴に団さんは渡さないぞ
100277.jpg	団さん！
100278.jpg	うっ
100279.jpg	ロクなものは出せないけどまぁちょいと一杯やってってくださいな
10028.jpg	パンプ〜〜〜
100280.jpg	俺は無重力ブランコが怖くなってサーカス団から逃げ出したんだ
100283.jpg	！
100284.jpg	惚れ惚れするぜ……
100286.jpg	まさかね…あの団三郎がうちにやって来るなんて
100287.jpg	それは宇宙サーカス団初の異星興行の時だった
100289.jpg	そんな！
10029.jpg	そして申しあわせたように降る雨！
100292.jpg	俺が勝手に逃げだしたんだから
100293.jpg	あの極悪団長のくやしそうな顔っつったらなかったよなぁ！
100294.jpg	あビールが
100295.jpg	いいかげんにしてくれよサブ
100297.jpg	スーパースター団三郎はその時死んだのさ…
100298.jpg	そいつはとんだ勘違いだ…
1003.jpg	ドクンドクン
10030.jpg	私のカンによればこれは
100302.jpg	団長
100303.jpg	タイツが破れタマキンがはみ出していたことに！
100306.jpg	その日も俺はいつもの様に大喝采の中ステージに立っていた
100307.jpg	バカな事を言うなよ
100309.jpg	はっ
100310.jpg	いいんだよ…もう…
100311.jpg	うわっ
100312.jpg	どんな事件もドンと来いだあ！
100313.jpg	よぅしやるぜ俺は！
100315.jpg	やーっ！
100316.jpg	あっおまわりさん助けて下さい鬼が！
100317.jpg	俺が
100318.jpg	殺される～
100319.jpg	さあ今日より心機一転
100322.jpg	お前はウケたんだよ！
100323.jpg	おおっ！いきなりかあ!?
100324.jpg	何い鬼ぃ!?
100325.jpg	そうか！ウケたんならいいや
100326.jpg	助けてぇ～っ！
100327.jpg	お前のために新しいコスチュームも用意したんだ！ほら！
100328.jpg	それじゃあ
100329.jpg	こらぁイケる俺ぁあん時確信したね！
100330.jpg	やかましいわぁっ！
100331.jpg	ものスゲエ婆さんだな…
100333.jpg	待ちやがれ
100334.jpg	なあ婆さん
100335.jpg	おいおい婆さん無理すんなって…
100336.jpg	鬼は家賃をロクに払わないお前の方じゃねえか！
100339.jpg	おう
100343.jpg	うぐっ！
100344.jpg	すっこんでろこのひょうろくダマ！
100345.jpg	う
100346.jpg	う
100347.jpg	あ～あ～そんなモン持ち出して…
100348.jpg	そんなノン気な状況じゃないんだよ
10035.jpg	私はもっともっとお金持ちになれるのだ！
100350.jpg	どうなってんだいこりゃあ
100351.jpg	人でなしはどっちだい！とっとと家賃払いな！
100352.jpg	ちょっと待った２人とも落ちつけ
100353.jpg	……………………
100354.jpg	ああ六助ぇ！
100356.jpg	おらおらそこどかんかい！
100358.jpg	うー
100359.jpg	参った……
10036.jpg	どうしたのみんな？
100360.jpg	みんなよぉく見ておくがいいさ…
100361.jpg	ふ…知れたことよ
100362.jpg	そういえば…
100364.jpg	それを探ろうとしてあんたの前任の巡査は…
100365.jpg	六助をどうする気じゃ！
100366.jpg	婆さん？
100367.jpg	強え…婆さんあんた強えよ…
100369.jpg	ふん！
10037.jpg	何だもかんだも………
100370.jpg	あれ…さっきの男もいない…
100373.jpg	やめろおおお！
100374.jpg	まったくまったく…
100375.jpg	今晩わー
100376.jpg	とにかく奴は人間じゃない人の皮をかぶった化け物ですぜ
100377.jpg	家賃を払わねえ奴がどうなるのか
10038.jpg	そんな…それじゃ…ＵＦＯは？
100380.jpg	うわあああああ
100381.jpg	なんでこんな事に…
100382.jpg	さらにはその形態をも巨大に変化させ続けています
100383.jpg	ギ…ギ…
100384.jpg	え
100385.jpg	そしてこれが現在の形態です
100386.jpg	なんて婆さんだ…
100388.jpg	お松婆さん緊急対策本部
100389.jpg	やっちまった………
10039.jpg	何だ!?これは普通の教室じゃないか！
100390.jpg	ギギギギ…
100393.jpg	何てこった…
100397.jpg	うつ
100398.jpg	わしらの長屋が
100399.jpg	いえ…年寄りだからといって私は特別扱いしません
1004.jpg	ズッ
100401.jpg	え!?何だって!?
100403.jpg	あいつ…ってあんた
100406.jpg	しかし………
100407.jpg	もうよしなされムダじゃよ
100408.jpg	これ以上の攻撃はならんぞ’
10041.jpg	机なんか木だぜ！
100411.jpg	くそぉ…ビクともしねえや
100412.jpg	おいこら！どこへ行く!?
100413.jpg	何わけわかんないこと言ってるんだ
100414.jpg	これ以上話し合っていてもムダです失礼します
100417.jpg	しかしなんだ…年寄りだと思って甘く見たか
100418.jpg	ふふ…あいつ
100419.jpg	わかってるよお松さん家賃をちゃんと払わなかった俺たちも悪いんだ
100420.jpg	くそぉ
100422.jpg	ちっとは手加減しろよあのババア
100425.jpg	わかったもうしゃべるなまだ助かるぞ！
100426.jpg	なにせ相手はお年寄りですからね
100428.jpg	やった
100429.jpg	いやちがう！手加減してるのは俺の方だ
10043.jpg	見こみ違いだったんでしょう
100431.jpg	ババアは本気なんだ俺も本気でババアに応えないと
100433.jpg	あんただってそうだろ!?なぁお松婆さん！
100434.jpg	長屋のみんなにもすまない事をしたよ…あたしゃどなるしか能がない女でさあ‘
100435.jpg	うわぁ
100436.jpg	はははまったくだ
100438.jpg	酒持ってきてくれぇ
10044.jpg	きったねー
100443.jpg	てめえらに何がわかるってんだよ
100444.jpg	ありがとうよ…
100446.jpg	おいおいまたかよ
100447.jpg	おまわりさん助けてくれぇ人殺しだぁ！
100448.jpg	おーい酒だ
10045.jpg	ちょっと！球ちゃんこれは！
100450.jpg	うるせえ大きなお世話だ
100451.jpg	おめえらに何がわかるってんだ
100452.jpg	そしてあのお松婆さんはどうなったかというと
100454.jpg	うちのカミさんは逃げたんじゃねえ！俺が…この俺が…
100456.jpg	先ほど自宅で何者かに襲われました…
100458.jpg	うるせえなぁ
100459.jpg	さそり…
10046.jpg	大そうじはせにゃいかんでしょうがねえ
100460.jpg	はあ
100461.jpg	山勝…正太郎さんですね
100462.jpg	開いてるから勝手に入ってくりゃいいだろ
100465.jpg	御存知ですよね
100467.jpg	何？
100468.jpg	奴の名前を聞くだけで吐き気がする！
10047.jpg	だれのいたずらだったのか知りませんが
100470.jpg	またかよ
100471.jpg	いや…何でもない…
100472.jpg	だれだこんな時間に
100474.jpg	いや…あなたの事じゃなくて…
100475.jpg	宇宙開発局局長の秋山吾郎さん
100478.jpg	君の奥さんが…
100479.jpg	科学の発展には多少の犠牲も必要だよ
10048.jpg	普通の教室ですよ
100481.jpg	まさかナミが戻ってきたなんて事が！
100482.jpg	たのむ！俺のためだと思って引き受けてくれ！
100484.jpg	それじゃどうも夜分遅く失礼しました
100486.jpg	いるよ君のよく知っている人が…
100487.jpg	バカなそんな事したら…
100489.jpg	万が一失敗すれば二度と帰ってこれないわね
10049.jpg	人さわがせなことですな
100490.jpg	スコーピオンつまりさそりこれなんか関係あるんですかね
100491.jpg	帰ってくれ！俺は何も知らん！
100497.jpg	さそり…
100498.jpg	！
100499.jpg	ナミ許してくれ
1005.jpg	クリス
10050.jpg	し！あとで説明したげるわ
100500.jpg	さそり……
100501.jpg	妻ナミは何も言わずうなずいてくれた
100502.jpg	あの感動をもう一度味わいたくないか！
100505.jpg	ナミ…なのか
100507.jpg	誰だお前は!?
10051.jpg	宇宙船の中につくられたニセモノなのよ
100510.jpg	ぜんっぜんちがうじゃん
100511.jpg	その声！まさかお前
100512.jpg	それ以上言わなくてもあんたにはわかるはず
100513.jpg	俺はまるでお前を実験用の犬や豚のように扱ってしまったんだ！
100515.jpg	え？
100516.jpg	よかったじゃないか！
100519.jpg	まず秋山を血祭りにあげてやった…
10052.jpg	大変だったろう？
100520.jpg	よかった？
100522.jpg	あんたはそんな風にしか考えられないんだ
100524.jpg	さらにパワーアップしてるぞ…
100525.jpg	ガン
100529.jpg	強い……
10053.jpg	つまりねこの教室は
100532.jpg	もともと強い女ではあったが
100533.jpg	さあナミ…
100534.jpg	やってくれひと思いに
100535.jpg	完成にはほど遠いがね
100536.jpg	ナミさんそれはちがうな
100537.jpg	あんただってロケットに乗ったのはダンナのためだったんだろ
100539.jpg	あれが山ちゃんのカミさん？
10054.jpg	えーっ！
100540.jpg	え？
100541.jpg	許してやりなよ
100542.jpg	まるっきり別人じゃあ
100543.jpg	でも何よりも私が許せなかったのはこの男さ！
100544.jpg	その男から離れるんだ！
100547.jpg	あれをごらんな…
100548.jpg	いいんだみんな
100550.jpg	暴行？ちっ死んでなかったのか
100551.jpg	むかえに行くつもりだったんだ
100552.jpg	それまでだ！
100554.jpg	話はすべて聞いた！デカい声で話してたからね
100555.jpg	山ちゃんはねあのロケットを完成させてあんたを迎えに行くつもりだったんだ
100561.jpg	秋山の件は私がやった事です
100562.jpg	王子…王子は何もわかっておられない……
100563.jpg	１年ですっかり元の姿に戻ったという…
100564.jpg	刑事さん……
100566.jpg	刑事さん…
10057.jpg	うーむ
100571.jpg	急に姿が見えなくなったですむかあ！
100573.jpg	いやいや実におもしろい…
100578.jpg	はあ…
100581.jpg	う～～ん
100582.jpg	いいよもう…
100583.jpg	余が２人!?
100584.jpg	よしついて来い秘密のぬけ道がある！
100585.jpg	驚いたな本当に王子なんだ
100586.jpg	これ待たぬかどこへ行く!?
100588.jpg	？
100589.jpg	いたぞ！
100590.jpg	余こそセッツ国国王の真の後継者
100591.jpg	あいつらにつかまったら余は何もかもおしまいなのだ！
100592.jpg	待ってくれせっかく瓜二つの仲ではないか
100593.jpg	しまったヤバイ人だ！
100595.jpg	エイペック王子なるぞ
100597.jpg	あ
100599.jpg	子供達の顔もおもしろいのう…
1006.jpg	ほんとに何かいたのか？
10060.jpg	たが……油断はできんぞ！
100600.jpg	それじゃあ
100601.jpg	まずい逃げろ！
100603.jpg	何だいあの連中？
100606.jpg	おうっ
100607.jpg	今帰ったぞよ
100609.jpg	ほら！何ボーッとしてんの
10061.jpg	クックック………
100611.jpg	へヘへ俺も１日だけなら王子様ってのも悪かぁねぇなって思ってよ
100612.jpg	え？
100613.jpg	オホン
100614.jpg	それ以上くだらない事言ったらブっとばすよ
100618.jpg	何がぞよだよ
100619.jpg	これでよしと
10062.jpg	ごめんなさいだまってて
100620.jpg	ここか…
100624.jpg	毒味は？
100625.jpg	それじゃあ明日の朝この場所でな
100626.jpg	あたたかい…
100628.jpg	たしかに王子だ
10063.jpg	いいやいいんだ
100631.jpg	このままじゃ俺単なる変わり者だよ
100632.jpg	捜しましたよ王子
100633.jpg	どうした!?
100634.jpg	気持ち悪いねこの子は！
100639.jpg	お前たちはどうしていつも余の自由を奪うのじゃ
100640.jpg	ウチの子に何するんだい！
100642.jpg	………………
100644.jpg	いいかげんにおし！
100646.jpg	おかわりとやらを所望しようではないか
100647.jpg	とっとと出てお行き！
100648.jpg	まこころじゃな…
100649.jpg	どこでそんな言葉おぼえてくんだろうねえ…
10065.jpg	答えてもらおうか！
100651.jpg	参ったなあ…
100654.jpg	やめろ
100655.jpg	で兄キこれからどうします
100656.jpg	なんだぁこの女は…痛ぇ目にあいてぇのか
100657.jpg	うるせーガキだなー
100659.jpg	あのーちょっといいスか？
100660.jpg	戻ろう……
100663.jpg	あんたら王室関係の人じゃないの？
100665.jpg	なるほど！しかし今回はチトわけがちがう！
100666.jpg	うむ…
100667.jpg	なんで俺こんな目にあうのさ…
100668.jpg	まったくまったく…これが今の王室の現状なんですかね
100671.jpg	すみませんでしたどうやら私共が人違いをしていたようです
100674.jpg	え？
100676.jpg	余は家庭の暖かさというものを知らぬ…
100678.jpg	あ…ああそうじゃな
100679.jpg	あのね…俺王子じゃないの
100683.jpg	え？
100684.jpg	ん？床は余が自分で敷くのか？
100688.jpg	あー実にいい湯であった
10069.jpg	!!
100690.jpg	気がついておったのか
100691.jpg	あたりまえじゃないか！
100692.jpg	それじゃあ俺もウソつく必要ねぇや
100694.jpg	ありがとう
100695.jpg	どうせあの子が言い出したんだろ？しょうのない子だよ
100699.jpg	自分の子だよ違うかどうか気が付かないわけがないじゃないか
1007.jpg	クリスとデニスはうしろへ
10070.jpg	質問のイミ不明
100701.jpg	今頃気がついたのか！バカ殿様
100702.jpg	さあさあそんなカッコでいたら湯ざめしてカゼひくよ！
100705.jpg	お～～い誰か助けちくり――！
100706.jpg	ありがとう勘助余は今宵の事を一生忘れん…
100707.jpg	こっちは大変な目にあったよ楽じゃないね王子様も
100708.jpg	あっタカとユウジ！
100709.jpg	今日はなんて日だろうね妙な男どもが次から次へと
10071.jpg	確率的にありえないんだよ！
100710.jpg	なんてイイ話なんだーっ！
100711.jpg	あっ勘助！
100712.jpg	あっそこなお２人なにとぞお助けを――
100715.jpg	ごめん母ちゃん心配したろ
100717.jpg	四畳半の部屋で川の字になって寝た
100719.jpg	お子さんをお連れしました
10072.jpg	ーーー！
100720.jpg	あすいません奥さん…夜分お騒がせして…
100721.jpg	何なんだいあんたたちは！
100723.jpg	無論タイホしてほしいんですだ！
100724.jpg	で…誰に追われてるんだって？
100725.jpg	それ！
100727.jpg	俺ちょっと今思い出しちまってな…イヤな事を…
100728.jpg	私もそう思うこれは警察の仕事だ出しゃぱるべきでない…
100729.jpg	じゃ 早速とりかかりますか お仕事に
10073.jpg	さてーー
100733.jpg	モモカンをいれてくるんです！
100734.jpg	よく昔のTVの怪獣もんとかで
100735.jpg	よけーわかんねーての
100736.jpg	またか…これで今月にはいって5件目だな
100737.jpg	はっスヴェルト星人であります！
100739.jpg	おーっとちょっと待ったぁ…
100741.jpg	聞いた？最近じゃ俺たちのファンもギャルばかりじゃないのね
100742.jpg	そのやりとり！
100744.jpg	え？スヴェルト……
100746.jpg	このままだまって見てていいのですかここは我々が出ていって…
100749.jpg	モモカン？ああ ポクチーのことね
100752.jpg	以上…であります
100753.jpg	さて…じゃあ他の事件探しに行きますか？
100754.jpg	待てぇ！そこの黒メガネ２人！
100755.jpg	てゆうかＭＡＣ隊長モロボシダンなんだけどね
100757.jpg	ちくしょーもうお前らなんかアテにするかーっ
100758.jpg	そうねもっと発砲できるやつね
100759.jpg	森次晃嗣！
100760.jpg	え？
100761.jpg	悪かったな…宇宙最弱で…
100762.jpg	俺らじゃねえ注釈！注釈に書いてあっただけじゃん！
100765.jpg	ちがうちがう！人ちがいだし悪口なんて言ってねえって
100768.jpg	ははは…たまには自分で難関を乗り越えな青少年
100771.jpg	あっ
100772.jpg	なめんなよ
100777.jpg	なんじゃそりゃーっ
100778.jpg	セブンになれないからってなめんなよ！
100779.jpg	はあ…あぶないっスね…
100781.jpg	ふうーあぶなかったなぁー君ぃ
100782.jpg	あぶない！君！ここから早く離れるんだ！
100783.jpg	あっ遅かったやっぱやっちまいましたか！
100785.jpg	はあ…はあ…
100786.jpg	あの…隊長さんそれで星人の方なんスけど…
100787.jpg	うっいかん！
100788.jpg	隊長さん？
10079.jpg	ミ…ツ…ユ
100790.jpg	あっけないものだな…あぶない刑事の最期だ…
100793.jpg	おやじ当年369才
100797.jpg	入ってきたまえムガール1号
100798.jpg	ハサミでこう…
100799.jpg	むっ
1008.jpg	ん？
10080.jpg	そうーー密輸です！
100801.jpg	夜の街から若い女性の姿が消えた
100803.jpg	うわっ
100807.jpg	一体どういうことだね
100809.jpg	心配はご無用！
100812.jpg	あそう
100814.jpg	でも誰が俺やだよ
100816.jpg	たあっ
100819.jpg	しかしその触手をどうやって切断すればいいんだね
10082.jpg	さあっ！答えろっ！
100820.jpg	和歌子なんてもういない！
100822.jpg	もうやめてよ父さん…ほんとみっともないんだから
100824.jpg	きゃああおやじよぉ―――っ
100825.jpg	うひょひょお～～っ！
100826.jpg	無我夫…
100827.jpg	さ…帰ろ父さん…
100829.jpg	はあ…
10083.jpg	デラボ・デスとやらが地球で何をしていたののかを
100830.jpg	源さんの店なんかもうないよ
100833.jpg	和歌子さーん
100836.jpg	いやわしゃまだ用が…
100837.jpg	誰じゃ
100838.jpg	やめてくれよもう！
100839.jpg	源さんの店にちょっと
10084.jpg	ーーーー
100840.jpg	さあ切ってくれ無我夫
100841.jpg	何？
100842.jpg	和歌子も他の家族も町のみんなももういない
100844.jpg	これがそのおやじのヒゲです…
100845.jpg	あっ
100847.jpg	ケツさわるだけでしょ別にいいじゃん
100849.jpg	うひょひょ
10085.jpg	………それは…どのくらいの力を持っている？
100850.jpg	あでも…
100852.jpg	おやじ！
100853.jpg	どうしたんだ！
100854.jpg	やめてくださ～い！
100855.jpg	まだ生きてるのかね…
100857.jpg	先生！ムガール１号が
100858.jpg	きゃあああ
10086.jpg	地球人にこの船の中のメカを売ったのか？
100863.jpg	特に今年の正月の番組
100864.jpg	Ｎｏ．１子役の座守り続ける
100868.jpg	そこは公害も事故もない夢の理想都市なのだ
100869.jpg	くそまた遅刻だぁ母さん俺朝メシいらないから
100880.jpg	しかし実際の２１世紀は…
100881.jpg	２１世紀だよ
100884.jpg	なんだぁー
100885.jpg	俺はもうあんな学校行くのはいやなんだ
100886.jpg	このままじゃあ20世紀と何も変わらないままなんだよ
100887.jpg	わしもそう思うぞ…
100888.jpg	未来ぃーまたお前は遅刻かぁーっ
10089.jpg	だったら　なぜそれは今使われていない！
100891.jpg	何？
100892.jpg	じいちゃーん！
100893.jpg	あっあの野郎
100894.jpg	だからさじいちゃん俺を変えてくれ！
100896.jpg	２１世紀仮面の事
100899.jpg	じいちゃん前俺に話してくれたよね
1009.jpg	うわっ
10090.jpg	売られたのは17年以上も前のはずだ！
100901.jpg	ていうか自分を変えるんだ！
100902.jpg	なるほどな…
100903.jpg	ろうかに立ってろーっ！
100904.jpg	しかしじゃあ何をすればいい
100906.jpg	さがしたぞ…未来
100907.jpg	ガッカリしたよじいちゃんには
100909.jpg	そんな事はできんよ…
100911.jpg	自習だよ他の生徒達は大喜びだろうな…
100912.jpg	いや…
100914.jpg	俺を21世紀仮面にしてくれよ！
100915.jpg	どうして！人道的問題からかよ！
100916.jpg	それでもマッドサイエンティストかよ！
100917.jpg	マッドサイエンティストか…
100920.jpg	ススム！
100921.jpg	よし子さんに怒られるから
100922.jpg	あっ
100924.jpg	ほら
100926.jpg	バカな事を言うな
100928.jpg	まさか大山先生がロボット教師だったなんて
100930.jpg	翌朝
100931.jpg	そんなに俺の教育方針が気に入らないのか
100932.jpg	なあ未来あれ？いない
100933.jpg	ロボか…まあこれを見たらそう言われても仕方ないな
100934.jpg	はーいわかってますって先生さよならー
100935.jpg	すごいすごいぞ信じられない！
100937.jpg	でも本当なんだね未来だ！２１世紀だよ！
100938.jpg	ロボだロボだ
